2026-01-05 19:03:42 - INFO | Skipping report file '/tmp/tmpb_t6fjfv/home/rflaherty/test_dicoms/20241022/91_0099_phoenixzipreport/original-primary-other-csa-report_e09_0010.dcm'
2026-01-05 19:03:42 - INFO | Skipping report file '/tmp/tmpb_t6fjfv/home/rflaherty/test_dicoms/20241022/91_0099_phoenixzipreport/original-primary-other-csa-report_e09_0009.dcm'
2026-01-05 19:03:42 - INFO | Skipping report file '/tmp/tmpb_t6fjfv/home/rflaherty/test_dicoms/20241022/91_0099_phoenixzipreport/original-primary-other-csa-report_e09_0015.dcm'
2026-01-05 19:03:42 - INFO | Skipping report file '/tmp/tmpb_t6fjfv/home/rflaherty/test_dicoms/20241022/91_0099_phoenixzipreport/original-primary-other-csa-report_e09_0012.dcm'
2026-01-05 19:03:42 - VERBOSE | Executing plugin: dcm2niix2bids -> /tmp/tmpb_t6fjfv/home/rflaherty/test_dicoms/20241022/91_0099_phoenixzipreport
2026-01-05 19:03:42 - INFO | No dcm2niix2bids sourcedata found in: /tmp/tmpb_t6fjfv/home/rflaherty/test_dicoms/20241022/91_0099_phoenixzipreport
2026-01-05 19:03:42 - VERBOSE | Executing plugin: events2bids -> /tmp/tmpb_t6fjfv/home/rflaherty/test_dicoms/20241022/91_0099_phoenixzipreport
2026-01-05 19:03:42 - INFO | Mapping: /home/rflaherty/test_dicoms/202509_3T_NormaPOET_jbr/dcm (subject 2/2)
2026-01-05 19:03:42 - VERBOSE | Executing plugin: dcm2niix2bids -> /home/rflaherty/test_dicoms/202509_3T_NormaPOET_jbr/dcm
2026-01-05 19:03:42 - INFO | Discovered sample: [DICOM] /home/rflaherty/test_dicoms/202509_3T_NormaPOET_jbr/dcm/42527_0005_b1map-presat-tfl-sag/original-primary-m-none_e09_0001.dcm
2026-01-05 19:03:42 - INFO | Discovered sample: [DICOM] /home/rflaherty/test_dicoms/202509_3T_NormaPOET_jbr/dcm/42527_0006_b1map-presat-tfl-sag/original-primary-flip-angle-map-none_e09_0001.dcm
2026-01-05 19:03:44 - INFO | Discovered sample: [DICOM] /home/rflaherty/test_dicoms/202509_3T_NormaPOET_jbr/dcm/42527_0023_t2-spc-mt-flair-sag-1iso-c6/original-primary-m-none_e09_0001.dcm
2026-01-05 19:03:45 - INFO | Discovered sample: [DICOM] /home/rflaherty/test_dicoms/202509_3T_NormaPOET_jbr/dcm/42527_0027_t2s-ep3d-0-65iso-c4-fov250-mag/original-primary-t2-star-none_e09_0001.dcm
2026-01-05 19:03:47 - INFO | Discovered sample: [DICOM] /home/rflaherty/test_dicoms/202509_3T_NormaPOET_jbr/dcm/42527_0029_t2s-ep3d-0-65iso-c4-fov250-pha/original-primary-t2-star-none_e09_0001.dcm
2026-01-05 19:03:48 - INFO | Discovered sample: [DICOM] /home/rflaherty/test_dicoms/202509_3T_NormaPOET_jbr/dcm/42527_0031_t2s-ep3d-0-65iso-c4-fov250-swi/original-primary-swi-none_e09_0001.dcm
